25 [12,66] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,122] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,127] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,133] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
25 [12,201] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
49 [13,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
49 [13,130] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
49 [13,309] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
57 [14,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
83 [15,22] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
83 [15,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
83 [15,176] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
83 [15,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
84 [16,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
84 [16,176] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
84 [16,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
99 [17,22] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
99 [17,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
110 [18,70] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
110 [18,134] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
110 [18,157] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
111 [19,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
111 [19,157] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
114 [20,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
114 [20,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
116 [21,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
124 [22,7] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
124 [22,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
124 [22,140] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
